Segment,Month_Ahead,Date,Forecast,Actual,MAE,RMSE,MAPE
Furniture,1,2018-10-31,11659.540971296026,21884.0682,5480.720365125082,6427.671546163539,21.638456062094548
Furniture,2,2018-11-30,33754.970598968124,37056.715000000004,5480.720365125082,6427.671546163539,21.638456062094548
Furniture,3,2018-12-31,34323.35626563939,31407.466800000002,5480.720365125082,6427.671546163539,21.638456062094548
Technology,1,2018-10-31,26076.532038096288,32855.663,10965.750998080757,15150.784004128589,25.15350315256695
Technology,2,2018-11-30,24069.895364743265,49409.103,10965.750998080757,15150.784004128589,25.15350315256695
Technology,3,2018-12-31,21205.99560291818,21984.91,10965.750998080757,15150.784004128589,25.15350315256695
Office Supplies,1,2018-10-31,24218.10080358327,22708.4,3468.7050424262793,4564.235940032185,12.140723286545164
Office Supplies,2,2018-11-30,30236.952485224152,31472.337,3468.7050424262793,4564.235940032185,12.140723286545164
Office Supplies,3,2018-12-31,37299.04180891972,29638.012,3468.7050424262793,4564.235940032185,12.140723286545164
West,1,2018-10-31,23965.939158849156,21203.092,3016.4441908279987,3564.2735164257706,11.609937857299439
West,2,2018-11-30,23259.91966633413,28718.207,3016.4441908279987,3564.2735164257706,11.609937857299439
West,3,2018-12-31,30480.293079968975,29652.095,3016.4441908279987,3564.2735164257706,11.609937857299439
East,1,2018-10-31,17804.941498007694,32295.24,14327.39599902936,18375.3698443445,35.92297490331411
East,2,2018-11-30,17296.916832946106,45633.638999999996,14327.39599902936,18375.3698443445,35.92297490331411
East,3,2018-12-31,19130.318671958114,19285.486,14327.39599902936,18375.3698443445,35.92297490331411
