Order Date,Year,Month,Region,Category,Sub-Category,Sales
2017-11-08,2017,11,South,Furniture,Bookcases,261.96
2017-11-08,2017,11,South,Furniture,Chairs,731.94
2017-06-12,2017,6,West,Office Supplies,Labels,14.62
2016-10-11,2016,10,South,Furniture,Tables,957.5775
2016-10-11,2016,10,South,Office Supplies,Storage,22.368
2015-06-09,2015,6,West,Furniture,Furnishings,48.86
2015-06-09,2015,6,West,Office Supplies,Art,7.28
2015-06-09,2015,6,West,Technology,Phones,907.152
2015-06-09,2015,6,West,Office Supplies,Binders,18.504
2015-06-09,2015,6,West,Office Supplies,Appliances,114.9
2015-06-09,2015,6,West,Furniture,Tables,1706.184
2015-06-09,2015,6,West,Technology,Phones,911.424
2018-04-15,2018,4,South,Office Supplies,Paper,15.552
2017-12-05,2017,12,West,Office Supplies,Binders,407.976
2016-11-22,2016,11,Central,Office Supplies,Appliances,68.81
2016-11-22,2016,11,Central,Office Supplies,Binders,2.544
2015-11-11,2015,11,Central,Office Supplies,Storage,665.88
2015-05-13,2015,5,West,Office Supplies,Storage,55.5
2015-08-27,2015,8,West,Office Supplies,Art,8.56
2015-08-27,2015,8,West,Technology,Phones,213.48
2015-08-27,2015,8,West,Office Supplies,Binders,22.72
2017-12-09,2017,12,Central,Office Supplies,Art,19.46
2017-12-09,2017,12,Central,Office Supplies,Appliances,60.34
2018-07-16,2018,7,East,Furniture,Chairs,71.372
2016-09-25,2016,9,West,Furniture,Tables,1044.63
2017-01-16,2017,1,West,Office Supplies,Binders,11.648
2017-01-16,2017,1,West,Technology,Accessories,90.57
2016-09-17,2016,9,East,Furniture,Bookcases,3083.43
2016-09-17,2016,9,East,Office Supplies,Binders,9.618
2016-09-17,2016,9,East,Furniture,Furnishings,124.2
2016-09-17,2016,9,East,Office Supplies,Envelopes,3.264
2016-09-17,2016,9,East,Office Supplies,Art,86.304
2016-09-17,2016,9,East,Office Supplies,Binders,6.858
2016-09-17,2016,9,East,Office Supplies,Art,15.76
2018-10-19,2018,10,Central,Office Supplies,Paper,29.472
2017-12-08,2017,12,Central,Technology,Phones,1097.544
2017-12-08,2017,12,Central,Furniture,Furnishings,190.92
2016-12-27,2016,12,Central,Office Supplies,Envelopes,113.328
2016-12-27,2016,12,Central,Furniture,Bookcases,532.3992
2016-12-27,2016,12,Central,Furniture,Chairs,212.058
2016-12-27,2016,12,Central,Technology,Phones,371.168
2018-09-10,2018,9,Central,Technology,Phones,147.168
2017-07-17,2017,7,West,Office Supplies,Storage,77.88
2018-09-19,2018,9,South,Office Supplies,Storage,95.616
2017-03-11,2017,3,Central,Technology,Accessories,45.98
2017-03-11,2017,3,Central,Office Supplies,Binders,17.46
2015-10-20,2015,10,Central,Office Supplies,Storage,211.96
2017-06-20,2017,6,East,Technology,Accessories,45.0
2017-06-20,2017,6,East,Technology,Phones,21.8
2016-04-18,2016,4,Central,Office Supplies,Binders,38.22
2016-04-18,2016,4,Central,Office Supplies,Labels,75.18
2016-04-18,2016,4,Central,Furniture,Furnishings,6.16
2016-04-18,2016,4,Central,Furniture,Chairs,89.99
